escenario,tanda,primero,algoritmo,ordenamientos,total_ns,ms_por_ordenamiento
ordenado,15,MergeSort,MergeSort,10000,5122700,0.000512270
ordenado,15,MergeSort,Insercion,10000,5957100,0.000595710
ordenado,16,Insercion,MergeSort,10000,5162000,0.000516200
ordenado,16,Insercion,Insercion,10000,4789100,0.000478910
ordenado,17,MergeSort,MergeSort,10000,4537000,0.000453700
ordenado,17,MergeSort,Insercion,10000,4482000,0.000448200
ordenado,18,Insercion,MergeSort,10000,4503500,0.000450350
ordenado,18,Insercion,Insercion,10000,5437000,0.000543700
ordenado,19,MergeSort,MergeSort,10000,5319400,0.000531940
ordenado,19,MergeSort,Insercion,10000,5935300,0.000593530
ordenado,20,Insercion,MergeSort,10000,4757500,0.000475750
ordenado,20,Insercion,Insercion,10000,4378200,0.000437820
ordenado,21,MergeSort,MergeSort,10000,4707900,0.000470790
ordenado,21,MergeSort,Insercion,10000,4619900,0.000461990
ordenado,22,Insercion,MergeSort,10000,3754200,0.000375420
ordenado,22,Insercion,Insercion,10000,4188200,0.000418820
ordenado,23,MergeSort,MergeSort,10000,4680600,0.000468060
ordenado,23,MergeSort,Insercion,10000,5178200,0.000517820
ordenado,24,Insercion,MergeSort,10000,4822200,0.000482220
ordenado,24,Insercion,Insercion,10000,4680100,0.000468010
ordenado,25,MergeSort,MergeSort,10000,4792900,0.000479290
ordenado,25,MergeSort,Insercion,10000,4561900,0.000456190
ordenado,26,Insercion,MergeSort,10000,4732100,0.000473210
ordenado,26,Insercion,Insercion,10000,5730400,0.000573040
ordenado,27,MergeSort,MergeSort,10000,4648000,0.000464800
ordenado,27,MergeSort,Insercion,10000,5682000,0.000568200
ordenado,28,Insercion,MergeSort,10000,6444400,0.000644440
ordenado,28,Insercion,Insercion,10000,4150500,0.000415050
ordenado,29,MergeSort,MergeSort,10000,4514500,0.000451450
ordenado,29,MergeSort,Insercion,10000,4133100,0.000413310
ordenado,30,Insercion,MergeSort,10000,4519000,0.000451900
ordenado,30,Insercion,Insercion,10000,5227900,0.000522790
invertido,1,MergeSort,MergeSort,10000,5546200,0.000554620
invertido,1,MergeSort,Insercion,10000,3189300,0.000318930
invertido,2,Insercion,MergeSort,10000,7012600,0.000701260
invertido,2,Insercion,Insercion,10000,4890700,0.000489070
invertido,3,MergeSort,MergeSort,10000,8058000,0.000805800
invertido,3,MergeSort,Insercion,10000,5135000,0.000513500
invertido,4,Insercion,MergeSort,10000,5156500,0.000515650
invertido,4,Insercion,Insercion,10000,3248000,0.000324800
invertido,5,MergeSort,MergeSort,10000,8004500,0.000800450
invertido,5,MergeSort,Insercion,10000,2544700,0.000254470
invertido,6,Insercion,MergeSort,10000,5112600,0.000511260
invertido,6,Insercion,Insercion,10000,2530100,0.000253010
invertido,7,MergeSort,MergeSort,10000,4917600,0.000491760
invertido,7,MergeSort,Insercion,10000,2792300,0.000279230
invertido,8,Insercion,MergeSort,10000,5093800,0.000509380
invertido,8,Insercion,Insercion,10000,2916600,0.000291660
invertido,9,MergeSort,MergeSort,10000,4478300,0.000447830
invertido,9,MergeSort,Insercion,10000,2594200,0.000259420
invertido,10,Insercion,MergeSort,10000,5411600,0.000541160
invertido,10,Insercion,Insercion,10000,2243700,0.000224370
invertido,11,MergeSort,MergeSort,10000,4474100,0.000447410
invertido,11,MergeSort,Insercion,10000,2537800,0.000253780
invertido,12,Insercion,MergeSort,10000,4511100,0.000451110
invertido,12,Insercion,Insercion,10000,2457400,0.000245740
invertido,13,MergeSort,MergeSort,10000,4707700,0.000470770
invertido,13,MergeSort,Insercion,10000,2457000,0.000245700
invertido,14,Insercion,MergeSort,10000,5414000,0.000541400
invertido,14,Insercion,Insercion,10000,2900500,0.000290050
invertido,15,MergeSort,MergeSort,10000,4298000,0.000429800
invertido,15,MergeSort,Insercion,10000,2554200,0.000255420
invertido,16,Insercion,MergeSort,10000,6390200,0.000639020
invertido,16,Insercion,Insercion,10000,2656600,0.000265660
invertido,17,MergeSort,MergeSort,10000,6459600,0.000645960
invertido,17,MergeSort,Insercion,10000,4339900,0.000433990
invertido,18,Insercion,MergeSort,10000,4488300,0.000448830
invertido,18,Insercion,Insercion,10000,2139000,0.000213900
invertido,19,MergeSort,MergeSort,10000,4471000,0.000447100
invertido,19,MergeSort,Insercion,10000,2504600,0.000250460
invertido,20,Insercion,MergeSort,10000,5865500,0.000586550
invertido,20,Insercion,Insercion,10000,3423100,0.000342310
invertido,21,MergeSort,MergeSort,10000,5360500,0.000536050
invertido,21,MergeSort,Insercion,10000,3226200,0.000322620
invertido,22,Insercion,MergeSort,10000,7865100,0.000786510
invertido,22,Insercion,Insercion,10000,3781400,0.000378140
invertido,23,MergeSort,MergeSort,10000,5669900,0.000566990
invertido,23,MergeSort,Insercion,10000,2858700,0.000285870
invertido,24,Insercion,MergeSort,10000,6296900,0.000629690
invertido,24,Insercion,Insercion,10000,3511500,0.000351150
invertido,25,MergeSort,MergeSort,10000,8913600,0.000891360
invertido,25,MergeSort,Insercion,10000,4460400,0.000446040
invertido,26,Insercion,MergeSort,10000,6558800,0.000655880
invertido,26,Insercion,Insercion,10000,2326800,0.000232680
invertido,27,MergeSort,MergeSort,10000,5253900,0.000525390
invertido,27,MergeSort,Insercion,10000,2588800,0.000258880
invertido,28,Insercion,MergeSort,10000,6504200,0.000650420
invertido,28,Insercion,Insercion,10000,3236100,0.000323610
invertido,29,MergeSort,MergeSort,10000,4773900,0.000477390
invertido,29,MergeSort,Insercion,10000,2565400,0.000256540
invertido,30,Insercion,MergeSort,10000,5982600,0.000598260
invertido,30,Insercion,Insercion,10000,2184200,0.000218420
